Model, M1T1, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
adding1, 0.677665333333333, 0.108838, 0.167702, 0.164700666666667, 0.169067, 0.212749333333333, 0.5493268, 0.1147144, 0.0931816
adding2, 61.0722006666667, 6.715768, 12.8817663333333, 5.74596366666667, 3.80878833333333, 2.66940466666667, 18.7933688, 2.8702506, 1.5744398
adding3, 170.053715666667, 16.5087403333333, 33.0301116666667, 13.5359573333333, 8.23712733333333, 5.586338, 51.6001766, 7.6892834, 4.370733
adding4, 500.689439333333, 44.6448146666667, 95.5924603333333, 37.424324, 21.6831013333333, 13.6545176666667, 123.0684742, 18.1865832, 10.2915722
adding5, 1005.05852833333, 82.0315273333333, 175.271635, 66.6123463333333, 37.4684533333333, 23.094269, 230.5922702, 34.5894174, 19.3526264
adding6, 1849.40402033333, 139.062970666667, 291.935906333333, 108.593083333333, 60.1849023333333, 36.1860833333333, 405.651114, 61.971008, 33.7374458
anderson1, 4.622349, 1.648381, 3.71532566666667, 4.937607, 5.81662466666667, 7.008075, 0.9527014, 0.2805398, 0.265778
anderson2, 0.267928, 0.0766636666666667, 0.145934, 0.182914, 0.198954, 0.238283666666667, 0.5185406, 0.1078666, 0.091236
anderson3, -, -, -, 148.542987333333, 115.267243666667, 111.363090333333, 192.2165064, 29.2271866, 17.7362262
anderson4, 1.56881533333333, 0.370461, 0.591709666666667, 0.551349333333333, 0.5583115, 0.636957333333333, 0.535802, 0.1059702, 0.0857658
anderson6, 40.613572, 5.886804, 14.5324203333333, 9.27456966666667, 7.29892, 6.32869066666667, 10.099527, 1.5603626, 0.9638954
anderson8, 274.566571333333, 28.7258133333333, 75.3041866666667, 42.368958, 30.6423853333333, 24.319623, 61.701192, 9.7358086, 5.8999124
at1, 2.534414, 0.52269, 0.835528666666667, 0.666307666666667, 0.628550666666667, 0.680672666666667, 0.564327, 0.1228176, 0.0991674
at2, 2.96946966666667, 0.624626, 1.02047566666667, 0.818491, 0.859665, 0.833766, 0.646037, 0.139884, 0.1041086
at3, 18.9087926666667, 3.266724, 6.55874166666667, 3.92182333333333, 3.07369366666667, 2.58395633333333, 4.8995978, 0.701516, 0.4346554
at4, 40.9295053333333, 5.65716066666667, 12.384295, 6.69539566666667, 4.78007866666667, 3.62820633333333, 9.4419972, 1.4191592, 0.8542776
at5, 106.702263666667, 12.0341056666667, 28.3329006666667, 14.5595653333333, 9.84181633333333, 7.20012266666667, 25.4199324, 3.7805062, 2.1962084
at6, -, -, 97.3661263333333, 47.098457, 30.8328313333333, 21.8291506666667, 100.821472, 15.197469, 8.9477004
at7, -, -, 120.177083666667, 55.7334573333333, 35.581601, 24.8239513333333, 130.7929678, 20.1153236, 11.8286688
bakery1, 0.00835033333333333, 0.00199966666666667, 0.00398, 0.004643, 0.005605, 0.00868833333333333, 0.4518714, 0.1109184, 0.1003
bakery2, 0.00583333333333333, 0.00145566666666667, 0.00266666666666667, 0.00353, 0.00407733333333333, 0.00677033333333333, 0.4999838, 0.1289872, 0.115517
bakery3, 0.0133983333333333, 0.00257666666666667, 0.00493733333333333, 0.005658, 0.00595266666666667, 0.008315, 0.555386, 0.126518, 0.099176
bakery4, 0.0198576666666667, 0.00391233333333333, 0.00691666666666667, 0.00723833333333333, 0.00607166666666667, 0.009451, 0.9177912, 0.195975, 0.1377858
