Model, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
SmallOperatingSystem-MT0064DC0016, 5.53333333333333E-05, 8.33333333333333E-06, 8E-06, 9E-06, 7.66666666666667E-06, 1E-05, 1.16E-05, 1.14E-05
SmallOperatingSystem-MT0064DC0032, 5.76666666666667E-05, 8E-06, 8.33333333333333E-06, 8E-06, 7.66666666666667E-06, 9.6E-06, 1.1E-05, 1.18E-05
SmallOperatingSystem-MT0128DC0032, 6.53333333333333E-05, 8.33333333333333E-06, 1E-05, 8.66666666666667E-06, 9E-06, 9.8E-06, 1.12E-05, 2.7E-05
SmallOperatingSystem-MT0128DC0064, 6.36666666666667E-05, 8.33333333333333E-06, 8.33333333333333E-06, 8E-06, 8.33333333333333E-06, 1E-05, 1.1E-05, 2.66E-05
SmallOperatingSystem-MT0256DC0064, 5.93333333333333E-05, 8E-06, 8E-06, 7.66666666666667E-06, 7E-06, 9.6E-06, 1.9E-05, 1.2E-05
SmallOperatingSystem-MT0256DC0128, 6.06666666666667E-05, 9E-06, 8.33333333333333E-06, 7.66666666666667E-06, 9.33333333333333E-06, 1.02E-05, 1.98E-05, 1.28E-05
SmallOperatingSystem-MT0512DC0128, 5.43333333333333E-05, 8.33333333333333E-06, 8E-06, 8E-06, 8E-06, 9.8E-06, 1.12E-05, 1.18E-05
SmallOperatingSystem-MT0512DC0256, 5.7E-05, 8.66666666666667E-06, 8E-06, 8E-06, 7.66666666666667E-06, 9.8E-06, 1.14E-05, 1.2E-05
SmallOperatingSystem-MT1024DC0256, 6.53333333333333E-05, 8E-06, 8E-06, 8E-06, 8E-06, 9.6E-06, 1.1E-05, 1.28E-05
SmallOperatingSystem-MT1024DC0512, 5.66666666666667E-05, 1.06666666666667E-05, 8.66666666666667E-06, 9.66666666666667E-06, 8E-06, 1E-05, 1.16E-05, 1.4E-05
SmallOperatingSystem-MT2048DC0512, 5.33333333333333E-05, 8.33333333333333E-06, 7.66666666666667E-06, 8E-06, 8E-06, 1.04E-05, 1.16E-05, 1.26E-05
SmallOperatingSystem-MT2048DC1024, 5.36666666666667E-05, 8.66666666666667E-06, 8E-06, 7E-06, 8.33333333333333E-06, 1.02E-05, 1.06E-05, 1.2E-05
SmallOperatingSystem-MT4096DC1024, 5.5E-05, 8E-06, 8.66666666666667E-06, 8.66666666666667E-06, 9.66666666666667E-06, 1.1E-05, 1.96E-05, 1.24E-05
SmallOperatingSystem-MT4096DC2048, 5.4E-05, 7.66666666666667E-06, 8.33333333333333E-06, 7.66666666666667E-06, 8E-06, 1.04E-05, 2.04E-05, 1.28E-05
SmallOperatingSystem-MT8192DC2048, 5.56666666666667E-05, 8E-06, 8.33333333333333E-06, 8E-06, 7.66666666666667E-06, 1.02E-05, 1.92E-05, 1.2E-05
SmallOperatingSystem-MT8192DC4096, 5.53333333333333E-05, 8.33333333333333E-06, 8E-06, 8.66666666666667E-06, 7.66666666666667E-06, 1.06E-05, 1.92E-05, 1.18E-05
soli0countersquare5, 184.253137666667, 457.812757333333, 199.896741666667, 117.203338, 74.0434036666667, 370.099266, 57.319243, 33.3847914
soli0square5, 109.598546333333, 256.494159333333, 114.038914333333, 68.7188283333333, 44.36748, 305.0340962, 45.00224, 26.9954462
soli1, -, 1030.26240233333, 443.838883333333, 260.126563333333, 159.413752666667, 1871.2069204, -, -
SwimmingPool-1, 1.69056333333333, 2.174987, 1.182606, 0.908875333333333, 0.796917666666667, 1.4218454, 0.2809046, 0.1833404
